text,Mode,KeySize,EncryptionOrDecryption,TimeTaken
plaintext100words.txt,AES/CBC/PKCS5PADDING,128,encryption,0.108458ms,
100wordsciphertext.enc,AES/CBC/PKCS5PADDING,128,decryption,0.104292ms,
plaintext100words.txt,AES/ECB/PKCS5PADDING,128,encryption,0.261708ms,
100wordsciphertext.enc,AES/ECB/PKCS5PADDING,128,decryption,0.106292ms,
plaintext100words.txt,AES/CTR/PKCS5PADDING,128,encryption,0.113083ms,
100wordsciphertext.enc,AES/CTR/PKCS5PADDING,128,decryption,0.096958ms,
plaintext100words.txt,AES/OFB/PKCS5PADDING,128,encryption,0.115166ms,
100wordsciphertext.enc,AES/OFB/PKCS5PADDING,128,decryption,0.098708ms,
plaintext100words.txt,AES/CFB/PKCS5PADDING,128,encryption,0.101625ms,
100wordsciphertext.enc,AES/CFB/PKCS5PADDING,128,decryption,0.094125ms,
plaintext100words.txt,AES/GCM/PKCS5PADDING,128,encryption,0.112833ms,
100wordsciphertext.enc,AES/GCM/PKCS5PADDING,128,decryption,0.095167ms,
plaintext100words.txt,AES/CBC/PKCS5PADDING,192,encryption,0.121167ms,
100wordsciphertext.enc,AES/CBC/PKCS5PADDING,192,decryption,0.102208ms,
plaintext100words.txt,AES/ECB/PKCS5PADDING,192,encryption,0.111ms,
100wordsciphertext.enc,AES/ECB/PKCS5PADDING,192,decryption,0.101875ms,
plaintext100words.txt,AES/CTR/PKCS5PADDING,192,encryption,0.106834ms,
100wordsciphertext.enc,AES/CTR/PKCS5PADDING,192,decryption,0.1025ms,
plaintext100words.txt,AES/OFB/PKCS5PADDING,192,encryption,0.112709ms,
100wordsciphertext.enc,AES/OFB/PKCS5PADDING,192,decryption,0.104ms,
plaintext100words.txt,AES/CFB/PKCS5PADDING,192,encryption,0.11825ms,
100wordsciphertext.enc,AES/CFB/PKCS5PADDING,192,decryption,0.241208ms,
plaintext100words.txt,AES/GCM/PKCS5PADDING,192,encryption,0.106ms,
100wordsciphertext.enc,AES/GCM/PKCS5PADDING,192,decryption,0.100542ms,
plaintext100words.txt,AES/CBC/PKCS5PADDING,256,encryption,0.189208ms,
100wordsciphertext.enc,AES/CBC/PKCS5PADDING,256,decryption,0.113833ms,
plaintext100words.txt,AES/ECB/PKCS5PADDING,256,encryption,0.121333ms,
100wordsciphertext.enc,AES/ECB/PKCS5PADDING,256,decryption,0.311458ms,
plaintext100words.txt,AES/CTR/PKCS5PADDING,256,encryption,0.120167ms,
100wordsciphertext.enc,AES/CTR/PKCS5PADDING,256,decryption,0.110167ms,
plaintext100words.txt,AES/OFB/PKCS5PADDING,256,encryption,0.120041ms,
100wordsciphertext.enc,AES/OFB/PKCS5PADDING,256,decryption,0.109083ms,
plaintext100words.txt,AES/CFB/PKCS5PADDING,256,encryption,0.120667ms,
100wordsciphertext.enc,AES/CFB/PKCS5PADDING,256,decryption,0.11ms,
